query_id,query,target_ticker,target_sector,target_periodo,n_retrieved,n_relevant_total_grade3,mrr,precision@5,recall@5,f1@5,ndcg@5,precision@10,recall@10,f1@10,ndcg@10
q001,¿Cómo afectó la primera ola de COVID-19 en Europa a el Euro Stoxx 50?,^STOXX50E,Euro Stoxx 50,caidas covid europa,10,237,1.0,1.0,0.02109704641350211,0.04132231404958678,1.0,0.9,0.0379746835443038,0.07287449392712551,0.9980212250126027
q002,¿Qué impacto tuvo la crisis de deuda soberana europea sobre el Euro Stoxx 50?,^STOXX50E,Euro Stoxx 50,caidas crisis deuda soberana europea,10,111,1.0,0.8,0.036036036036036036,0.06896551724137931,0.9513105500524313,0.8,0.07207207207207207,0.13223140495867766,0.9880337703784908
q003,¿Cuál fue la reacción de el Euro Stoxx 50 ante la crisis energética provocada por la guerra de Ucrania?,^STOXX50E,Euro Stoxx 50,caidas guerra ucrania energia,10,114,1.0,1.0,0.043859649122807015,0.08403361344537816,1.0,1.0,0.08771929824561403,0.16129032258064516,1.0
q004,Explícame la relación entre la espera del programa de compra de deuda (QE) del BCE y el comportamiento de el Euro Stoxx 50.,^STOXX50E,Euro Stoxx 50,lateralizacion espera qe bce,10,102,1.0,1.0,0.049019607843137254,0.09345794392523364,1.0,0.9,0.08823529411764706,0.16071428571428573,0.9991031692211777
q005,¿Cómo afectó la incertidumbre por el rescate de Grecia a el Euro Stoxx 50?,^STOXX50E,Euro Stoxx 50,lateralizacion incertidumbre grecia,10,105,1.0,0.8,0.0380952380952381,0.07272727272727274,0.928671245088491,0.7,0.06666666666666667,0.1217391304347826,0.9752092775120579
q006,¿Qué impacto tuvo las tensiones comerciales globales sobre el Euro Stoxx 50?,^STOXX50E,Euro Stoxx 50,lateralizacion tensiones comerciales,10,99,0.5,0.6,0.030303030303030304,0.057692307692307696,0.8432115724046808,0.8,0.08080808080808081,0.1467889908256881,0.9389016600328
q007,¿Cuál fue la reacción de el Euro Stoxx 50 ante la moderación de la inflación en Europa?,^STOXX50E,Euro Stoxx 50,subidas moderacion inflacion,10,283,1.0,1.0,0.0176678445229682,0.034722222222222224,1.0,0.8,0.028268551236749116,0.054607508532423216,0.9988930800939724
q008,Explícame la relación entre la recuperación tras la crisis financiera de 2008 y el comportamiento de el Euro Stoxx 50.,^STOXX50E,Euro Stoxx 50,subidas recuperacion financiera,10,89,0.3333333333333333,0.2,0.011235955056179775,0.02127659574468085,0.9275038527696858,0.1,0.011235955056179775,0.020202020202020204,0.9342912150780281
q009,¿Cómo afectó la llegada de las vacunas contra el COVID-19 y la reapertura económica a el Euro Stoxx 50?,^STOXX50E,Euro Stoxx 50,subidas vacunas reapertura,10,136,1.0,1.0,0.03676470588235294,0.07092198581560283,1.0,0.9,0.0661764705882353,0.12328767123287672,0.9966819224638114
q010,¿Qué impacto tuvo el estallido de la burbuja puntocom sobre el NASDAQ 100 y las tecnológicas?,^NDX,NASDAQ 100,caidas burbuja puntocom,10,45,0.5,0.6,0.06666666666666667,0.12000000000000001,0.9149871004746095,0.3,0.06666666666666667,0.1090909090909091,0.939163158461477
q011,¿Cuál fue la reacción de el NASDAQ 100 y las tecnológicas ante el desplome bursátil de marzo de 2020 por el COVID-19?,^NDX,NASDAQ 100,caidas covid,10,256,0.3333333333333333,0.2,0.00390625,0.007662835249042145,0.7445439475420768,0.1,0.00390625,0.007518796992481203,0.8318380070876641
q012,Explícame la relación entre la subida de tipos de interés de la Fed sobre las tecnológicas y el comportamiento de el NASDAQ 100 y las tecnológicas.,^NDX,NASDAQ 100,caidas tipos altos contra tecnologicas,10,242,0.5,0.6,0.012396694214876033,0.024291497975708506,0.5147714448836774,0.7,0.028925619834710745,0.05555555555555555,0.7828214969110123
q013,¿Cómo afectó la espera de decisiones de política monetaria de la Fed a el NASDAQ 100 y las tecnológicas?,^NDX,NASDAQ 100,lateralizacion espera de politica monetaria,10,208,0.0,0.0,0.0,0.0,0.7860137352654724,0.0,0.0,0.0,0.9135277613190136
q014,¿Qué impacto tuvo la guerra comercial entre EE.UU. y China sobre el NASDAQ 100 y las tecnológicas?,^NDX,NASDAQ 100,lateralizacion guerra comercial eeuu china,10,204,0.5,0.6,0.014705882352941176,0.02870813397129187,0.5147714448836774,0.6,0.029411764705882353,0.056074766355140186,0.7518016554167511
q015,¿Cuál fue la reacción de el NASDAQ 100 y las tecnológicas ante la lenta recuperación del sector tecnológico?,^NDX,NASDAQ 100,lateralizacion recuperacion lenta tech,10,40,0.0,0.0,0.0,0.0,0.5531464700081437,0.0,0.0,0.0,0.8663365527202843
